school_name,address,latitude,longitude,school_day_type,time_window,pedestrian_collisions,cyclist_collisions,other_collisions,total_collisions
Driftwood Park Public School,50 Parkland Cres Kitchener ON N2N 1S4,43.41490885,-80.53682872984814,Regular School Day,btw_8am_4pm,0,0,9,9
Eastwood Collegiate Institute,760 Weber St E Kitchener ON N2H 1H6,43.43921975,-80.45894365959595,Regular School Day,btw_6am_6pm,0,0,5,5
Eastwood Collegiate Institute,760 Weber St E Kitchener ON N2H 1H6,43.43921975,-80.45894365959595,Regular School Day,btw_7am_5pm,0,0,4,4
Eastwood Collegiate Institute,760 Weber St E Kitchener ON N2H 1H6,43.43921975,-80.45894365959595,Regular School Day,btw_8am_4pm,0,0,4,4
Forest Heights Collegiate Institute,255 Fischer-Hallman Rd Kitchener ON N2M 4X8,43.4252264,-80.52282822639316,Regular School Day,btw_6am_6pm,0,0,2,2
Forest Heights Collegiate Institute,255 Fischer-Hallman Rd Kitchener ON N2M 4X8,43.4252264,-80.52282822639316,Regular School Day,btw_7am_5pm,0,0,2,2
Forest Heights Collegiate Institute,255 Fischer-Hallman Rd Kitchener ON N2M 4X8,43.4252264,-80.52282822639316,Regular School Day,btw_8am_4pm,0,0,2,2
Forest Hill Public School,255 Westmount Rd E Kitchener ON N2M 4Z2,43.42594295,-80.50654684887172,Regular School Day,btw_6am_6pm,0,0,10,10
Forest Hill Public School,255 Westmount Rd E Kitchener ON N2M 4Z2,43.42594295,-80.50654684887172,Regular School Day,btw_7am_5pm,0,0,9,9
Forest Hill Public School,255 Westmount Rd E Kitchener ON N2M 4Z2,43.42594295,-80.50654684887172,Regular School Day,btw_8am_4pm,0,0,7,7
Franklin Public School,371 Franklin St N Kitchener ON N2A 1Y9,43.44404375,-80.44721852094926,Regular School Day,btw_6am_6pm,0,0,7,7
Franklin Public School,371 Franklin St N Kitchener ON N2A 1Y9,43.44404375,-80.44721852094926,Regular School Day,btw_7am_5pm,0,0,6,6
Franklin Public School,371 Franklin St N Kitchener ON N2A 1Y9,43.44404375,-80.44721852094926,Regular School Day,btw_8am_4pm,0,0,5,5
Glencairn Public School,664 Erinbrook Dr Kitchener ON N2E 2R1,43.41048335,-80.49143732171149,Lockdown School Day,btw_6am_6pm,0,0,3,3
Glencairn Public School,664 Erinbrook Dr Kitchener ON N2E 2R1,43.41048335,-80.49143732171149,Lockdown School Day,btw_7am_5pm,0,0,3,3
Glencairn Public School,664 Erinbrook Dr Kitchener ON N2E 2R1,43.41048335,-80.49143732171149,Lockdown School Day,btw_8am_4pm,0,0,3,3
Glencairn Public School,664 Erinbrook Dr Kitchener ON N2E 2R1,43.41048335,-80.49143732171149,Regular School Day,btw_6am_6pm,0,0,8,8
Glencairn Public School,664 Erinbrook Dr Kitchener ON N2E 2R1,43.41048335,-80.49143732171149,Regular School Day,btw_7am_5pm,0,0,6,6
Glencairn Public School,664 Erinbrook Dr Kitchener ON N2E 2R1,43.41048335,-80.49143732171149,Regular School Day,btw_8am_4pm,0,0,3,3
Grand River Collegiate Institute,175 Indian Rd Kitchener ON N2B 2S7,43.45655415,-80.43678110602693,Regular School Day,btw_6am_6pm,0,0,6,6
Grand River Collegiate Institute,175 Indian Rd Kitchener ON N2B 2S7,43.45655415,-80.43678110602693,Regular School Day,btw_7am_5pm,0,0,5,5
Grand River Collegiate Institute,175 Indian Rd Kitchener ON N2B 2S7,43.45655415,-80.43678110602693,Regular School Day,btw_8am_4pm,0,0,4,4
Groh Public School,225 Thomas Slee Drive Kitchener ON N2P 0B8,43.3718994,-80.439414460644,Regular School Day,btw_6am_6pm,0,0,3,3
Groh Public School,225 Thomas Slee Drive Kitchener ON N2P 0B8,43.3718994,-80.439414460644,Regular School Day,btw_7am_5pm,0,0,3,3
Groh Public School,225 Thomas Slee Drive Kitchener ON N2P 0B8,43.3718994,-80.439414460644,Regular School Day,btw_8am_4pm,0,0,3,3
Hillside Public School,11 Chopin Dr Kitchener ON N2M 2G3,43.44231905,-80.52386793846287,Regular School Day,btw_6am_6pm,0,1,2,3
Hillside Public School,11 Chopin Dr Kitchener ON N2M 2G3,43.44231905,-80.52386793846287,Regular School Day,btw_7am_5pm,0,1,2,3
Hillside Public School,11 Chopin Dr Kitchener ON N2M 2G3,43.44231905,-80.52386793846287,Regular School Day,btw_8am_4pm,0,1,2,3
Howard Robertson Public School,130 Morgan Ave Kitchener ON N2A 2M5,43.4300125,-80.42953964214641,Regular School Day,btw_6am_6pm,0,0,6,6
Howard Robertson Public School,130 Morgan Ave Kitchener ON N2A 2M5,43.4300125,-80.42953964214641,Regular School Day,btw_7am_5pm,0,0,5,5
Howard Robertson Public School,130 Morgan Ave Kitchener ON N2A 2M5,43.4300125,-80.42953964214641,Regular School Day,btw_8am_4pm,0,0,5,5
Huron Heights Secondary School,1825 Strasburg Rd Kitchener ON N2R 1S3,43.39407745,-80.46607334573369,Lockdown School Day,btw_6am_6pm,0,0,3,3
Huron Heights Secondary School,1825 Strasburg Rd Kitchener ON N2R 1S3,43.39407745,-80.46607334573369,Lockdown School Day,btw_7am_5pm,0,0,2,2
Huron Heights Secondary School,1825 Strasburg Rd Kitchener ON N2R 1S3,43.39407745,-80.46607334573369,Lockdown School Day,btw_8am_4pm,0,0,2,2
Huron Heights Secondary School,1825 Strasburg Rd Kitchener ON N2R 1S3,43.39407745,-80.46607334573369,Regular School Day,btw_6am_6pm,0,1,33,34
Huron Heights Secondary School,1825 Strasburg Rd Kitchener ON N2R 1S3,43.39407745,-80.46607334573369,Regular School Day,btw_7am_5pm,0,1,29,30
Huron Heights Secondary School,1825 Strasburg Rd Kitchener ON N2R 1S3,43.39407745,-80.46607334573369,Regular School Day,btw_8am_4pm,0,0,20,20
Huron Natural Area Outdoor Environmental Education Centre,801 Trillium Drive Kitchener ON N2J 3Z4,43.3984278,-80.48194487503022,Regular School Day,btw_6am_6pm,0,0,3,3
Huron Natural Area Outdoor Environmental Education Centre,801 Trillium Drive Kitchener ON N2J 3Z4,43.3984278,-80.48194487503022,Regular School Day,btw_7am_5pm,0,0,2,2
Huron Natural Area Outdoor Environmental Education Centre,801 Trillium Drive Kitchener ON N2J 3Z4,43.3984278,-80.48194487503022,Regular School Day,btw_8am_4pm,0,0,2,2
J F Carmichael Public School,80 Patricia Ave Kitchener ON N2M 1J3,43.4393139,-80.50437457598599,Regular School Day,btw_6am_6pm,0,0,18,18
J F Carmichael Public School,80 Patricia Ave Kitchener ON N2M 1J3,43.4393139,-80.50437457598599,Regular School Day,btw_7am_5pm,0,0,17,17
J F Carmichael Public School,80 Patricia Ave Kitchener ON N2M 1J3,43.4393139,-80.50437457598599,Regular School Day,btw_8am_4pm,0,0,14,14
J W Gerth Public School,171 Apple Ridge Dr Kitchener ON N2P 0A1,43.3840899,-80.43943399368025,Regular School Day,btw_6am_6pm,0,0,7,7
J W Gerth Public School,171 Apple Ridge Dr Kitchener ON N2P 0A1,43.3840899,-80.43943399368025,Regular School Day,btw_7am_5pm,0,0,7,7
J W Gerth Public School,171 Apple Ridge Dr Kitchener ON N2P 0A1,43.3840899,-80.43943399368025,Regular School Day,btw_8am_4pm,0,0,7,7
Janet Metcalfe Public School,335 Seabrook Drive Kitchener ON N2R 0G3,43.38558148773738,-80.49876750926715,NA,NA,0,0,0,0
Jean Steckle Public School,130 Woodbine Ave Kitchener ON N2R 1X7,43.38750873141032,-80.48523648777457,Regular School Day,btw_6am_6pm,0,0,18,18
Jean Steckle Public School,130 Woodbine Ave Kitchener ON N2R 1X7,43.38750873141032,-80.48523648777457,Regular School Day,btw_7am_5pm,0,0,15,15
Jean Steckle Public School,130 Woodbine Ave Kitchener ON N2R 1X7,43.38750873141032,-80.48523648777457,Regular School Day,btw_8am_4pm,0,0,13,13
John Darling Public School,200 Rolling Meadows Dr Kitchener ON N2N 3G9,43.420092749999995,-80.54665349005109,Regular School Day,btw_6am_6pm,0,0,5,5
John Darling Public School,200 Rolling Meadows Dr Kitchener ON N2N 3G9,43.420092749999995,-80.54665349005109,Regular School Day,btw_7am_5pm,0,0,5,5
John Darling Public School,200 Rolling Meadows Dr Kitchener ON N2N 3G9,43.420092749999995,-80.54665349005109,Regular School Day,btw_8am_4pm,0,0,4,4
John Sweeney,"185 Activa Ave., Kitchener, ON N2E 4A1",43.4084771,-80.51255170681014,Regular School Day,btw_6am_6pm,4,0,13,17
John Sweeney,"185 Activa Ave., Kitchener, ON N2E 4A1",43.4084771,-80.51255170681014,Regular School Day,btw_7am_5pm,4,0,11,15
John Sweeney,"185 Activa Ave., Kitchener, ON N2E 4A1",43.4084771,-80.51255170681014,Regular School Day,btw_8am_4pm,2,0,10,12
King Edward Public School,709 King St W Kitchener ON N2G 1E3,43.45423335,-80.50702386344551,Lockdown School Day,btw_6am_6pm,0,0,1,1
King Edward Public School,709 King St W Kitchener ON N2G 1E3,43.45423335,-80.50702386344551,Lockdown School Day,btw_7am_5pm,0,0,1,1
King Edward Public School,709 King St W Kitchener ON N2G 1E3,43.45423335,-80.50702386344551,Lockdown School Day,btw_8am_4pm,0,0,1,1
King Edward Public School,709 King St W Kitchener ON N2G 1E3,43.45423335,-80.50702386344551,Regular School Day,btw_6am_6pm,2,0,27,29
King Edward Public School,709 King St W Kitchener ON N2G 1E3,43.45423335,-80.50702386344551,Regular School Day,btw_7am_5pm,2,0,23,25
King Edward Public School,709 King St W Kitchener ON N2G 1E3,43.45423335,-80.50702386344551,Regular School Day,btw_8am_4pm,2,0,19,21
Kitchener-Waterloo Collegiate & Vocational School,787 King St W Kitchener ON N2G 1E3,43.4555829,-80.50900287030169,Lockdown School Day,btw_6am_6pm,0,0,1,1
Kitchener-Waterloo Collegiate & Vocational School,787 King St W Kitchener ON N2G 1E3,43.4555829,-80.50900287030169,Lockdown School Day,btw_7am_5pm,0,0,1,1
Kitchener-Waterloo Collegiate & Vocational School,787 King St W Kitchener ON N2G 1E3,43.4555829,-80.50900287030169,Regular School Day,btw_6am_6pm,4,0,51,55
Kitchener-Waterloo Collegiate & Vocational School,787 King St W Kitchener ON N2G 1E3,43.4555829,-80.50900287030169,Regular School Day,btw_7am_5pm,4,0,50,54
Kitchener-Waterloo Collegiate & Vocational School,787 King St W Kitchener ON N2G 1E3,43.4555829,-80.50900287030169,Regular School Day,btw_8am_4pm,3,0,39,42
Lackner Woods Public School,151 Zeller Dr Kitchener ON N2A 4H4,43.4523849,-80.41847735077803,Regular School Day,btw_6am_6pm,0,0,4,4
Lackner Woods Public School,151 Zeller Dr Kitchener ON N2A 4H4,43.4523849,-80.41847735077803,Regular School Day,btw_7am_5pm,0,0,4,4
Lackner Woods Public School,151 Zeller Dr Kitchener ON N2A 4H4,43.4523849,-80.41847735077803,Regular School Day,btw_8am_4pm,0,0,4,4
Laurentian Senior Public School,777 Westmount Rd E Kitchener ON N2E 1J2,43.4176059,-80.5027895793489,Regular School Day,btw_6am_6pm,0,0,2,2
Laurentian Senior Public School,777 Westmount Rd E Kitchener ON N2E 1J2,43.4176059,-80.5027895793489,Regular School Day,btw_7am_5pm,0,0,2,2
Laurentian Senior Public School,777 Westmount Rd E Kitchener ON N2E 1J2,43.4176059,-80.5027895793489,Regular School Day,btw_8am_4pm,0,0,2,2
Mackenzie King Public School,51 Natchez Rd Kitchener ON N2B 3A7,43.4657256,-80.44751310353621,Lockdown School Day,btw_6am_6pm,0,0,1,1
Mackenzie King Public School,51 Natchez Rd Kitchener ON N2B 3A7,43.4657256,-80.44751310353621,Lockdown School Day,btw_7am_5pm,0,0,1,1
Mackenzie King Public School,51 Natchez Rd Kitchener ON N2B 3A7,43.4657256,-80.44751310353621,Lockdown School Day,btw_8am_4pm,0,0,1,1
Mackenzie King Public School,51 Natchez Rd Kitchener ON N2B 3A7,43.4657256,-80.44751310353621,Regular School Day,btw_6am_6pm,0,1,0,1
Mackenzie King Public School,51 Natchez Rd Kitchener ON N2B 3A7,43.4657256,-80.44751310353621,Regular School Day,btw_7am_5pm,0,1,0,1
Margaret Avenue Senior Public School,325 Louisa St Kitchener ON N2H 5N1,43.45960925,-80.48983037208485,Lockdown School Day,btw_6am_6pm,0,1,2,3
Margaret Avenue Senior Public School,325 Louisa St Kitchener ON N2H 5N1,43.45960925,-80.48983037208485,Lockdown School Day,btw_7am_5pm,0,0,2,2
Margaret Avenue Senior Public School,325 Louisa St Kitchener ON N2H 5N1,43.45960925,-80.48983037208485,Lockdown School Day,btw_8am_4pm,0,0,2,2
Margaret Avenue Senior Public School,325 Louisa St Kitchener ON N2H 5N1,43.45960925,-80.48983037208485,Regular School Day,btw_6am_6pm,3,1,23,27
Margaret Avenue Senior Public School,325 Louisa St Kitchener ON N2H 5N1,43.45960925,-80.48983037208485,Regular School Day,btw_7am_5pm,3,1,21,25
Margaret Avenue Senior Public School,325 Louisa St Kitchener ON N2H 5N1,43.45960925,-80.48983037208485,Regular School Day,btw_8am_4pm,2,1,16,19
Meadowlane Public School,236 Forestwood Dr Kitchener ON N2N 1C1,43.4187273,-80.52701806685407,Lockdown School Day,btw_6am_6pm,0,0,1,1
Meadowlane Public School,236 Forestwood Dr Kitchener ON N2N 1C1,43.4187273,-80.52701806685407,Lockdown School Day,btw_7am_5pm,0,0,1,1
Meadowlane Public School,236 Forestwood Dr Kitchener ON N2N 1C1,43.4187273,-80.52701806685407,Lockdown School Day,btw_8am_4pm,0,0,1,1
Meadowlane Public School,236 Forestwood Dr Kitchener ON N2N 1C1,43.4187273,-80.52701806685407,Regular School Day,btw_6am_6pm,0,0,9,9
Meadowlane Public School,236 Forestwood Dr Kitchener ON N2N 1C1,43.4187273,-80.52701806685407,Regular School Day,btw_7am_5pm,0,0,8,8
Meadowlane Public School,236 Forestwood Dr Kitchener ON N2N 1C1,43.4187273,-80.52701806685407,Regular School Day,btw_8am_4pm,0,0,7,7
Monsignor R.M. Haller,"118 Shea Crescent Kitchener, ON N2E 1E8",43.4184178,-80.49277094587332,Lockdown School Day,btw_6am_6pm,0,0,1,1
Monsignor R.M. Haller,"118 Shea Crescent Kitchener, ON N2E 1E8",43.4184178,-80.49277094587332,Lockdown School Day,btw_7am_5pm,0,0,1,1
Monsignor R.M. Haller,"118 Shea Crescent Kitchener, ON N2E 1E8",43.4184178,-80.49277094587332,Lockdown School Day,btw_8am_4pm,0,0,1,1
Monsignor R.M. Haller,"118 Shea Crescent Kitchener, ON N2E 1E8",43.4184178,-80.49277094587332,Regular School Day,btw_6am_6pm,0,0,1,1
Monsignor R.M. Haller,"118 Shea Crescent Kitchener, ON N2E 1E8",43.4184178,-80.49277094587332,Regular School Day,btw_7am_5pm,0,0,1,1
Monsignor R.M. Haller,"118 Shea Crescent Kitchener, ON N2E 1E8",43.4184178,-80.49277094587332,Regular School Day,btw_8am_4pm,0,0,1,1
Our Lady of Grace,"70 Gracefield Crescent Kitchener, ON N2E 1R9",43.41986505,-80.47863491141305,Regular School Day,btw_6am_6pm,0,0,8,8
Our Lady of Grace,"70 Gracefield Crescent Kitchener, ON N2E 1R9",43.41986505,-80.47863491141305,Regular School Day,btw_7am_5pm,0,0,8,8
Our Lady of Grace,"70 Gracefield Crescent Kitchener, ON N2E 1R9",43.41986505,-80.47863491141305,Regular School Day,btw_8am_4pm,0,0,7,7
Pioneer Park Public School,55 Upper Canada Dr Kitchener ON N2P 1G2,43.3967845,-80.44372428192447,Lockdown School Day,btw_6am_6pm,0,0,2,2
Pioneer Park Public School,55 Upper Canada Dr Kitchener ON N2P 1G2,43.3967845,-80.44372428192447,Lockdown School Day,btw_7am_5pm,0,0,2,2
Pioneer Park Public School,55 Upper Canada Dr Kitchener ON N2P 1G2,43.3967845,-80.44372428192447,Lockdown School Day,btw_8am_4pm,0,0,2,2
Pioneer Park Public School,55 Upper Canada Dr Kitchener ON N2P 1G2,43.3967845,-80.44372428192447,Regular School Day,btw_6am_6pm,2,1,31,34
Pioneer Park Public School,55 Upper Canada Dr Kitchener ON N2P 1G2,43.3967845,-80.44372428192447,Regular School Day,btw_7am_5pm,2,0,28,30
Pioneer Park Public School,55 Upper Canada Dr Kitchener ON N2P 1G2,43.3967845,-80.44372428192447,Regular School Day,btw_8am_4pm,2,0,22,24
Prueter Public School,40 Prueter Ave Kitchener ON N2H 6G6,43.46897535,-80.4911172091114,Regular School Day,btw_6am_6pm,0,0,5,5
Prueter Public School,40 Prueter Ave Kitchener ON N2H 6G6,43.46897535,-80.4911172091114,Regular School Day,btw_7am_5pm,0,0,5,5
Prueter Public School,40 Prueter Ave Kitchener ON N2H 6G6,43.46897535,-80.4911172091114,Regular School Day,btw_8am_4pm,0,0,4,4
Queen Elizabeth Public School,191 Hoffman St Kitchener ON N2M 3N2,43.4301204,-80.4855199588219,Lockdown School Day,btw_6am_6pm,0,0,1,1
Queen Elizabeth Public School,191 Hoffman St Kitchener ON N2M 3N2,43.4301204,-80.4855199588219,Regular School Day,btw_6am_6pm,0,0,21,21
Queen Elizabeth Public School,191 Hoffman St Kitchener ON N2M 3N2,43.4301204,-80.4855199588219,Regular School Day,btw_7am_5pm,0,0,20,20
Queen Elizabeth Public School,191 Hoffman St Kitchener ON N2M 3N2,43.4301204,-80.4855199588219,Regular School Day,btw_8am_4pm,0,0,18,18
Queensmount Senior Public School,21 Westmount Rd W Kitchener ON N2M 1R6,43.433722149999994,-80.51125766489162,Regular School Day,btw_6am_6pm,1,0,6,7
Queensmount Senior Public School,21 Westmount Rd W Kitchener ON N2M 1R6,43.433722149999994,-80.51125766489162,Regular School Day,btw_7am_5pm,1,0,6,7
Queensmount Senior Public School,21 Westmount Rd W Kitchener ON N2M 1R6,43.433722149999994,-80.51125766489162,Regular School Day,btw_8am_4pm,1,0,6,7
Resurrection Catholic Secondary School,"455 University Ave. W, Kitchener, ON N2N 3B9",43.43957025,-80.54613569108241,Regular School Day,btw_6am_6pm,0,0,6,6
Resurrection Catholic Secondary School,"455 University Ave. W, Kitchener, ON N2N 3B9",43.43957025,-80.54613569108241,Regular School Day,btw_7am_5pm,0,0,6,6
Resurrection Catholic Secondary School,"455 University Ave. W, Kitchener, ON N2N 3B9",43.43957025,-80.54613569108241,Regular School Day,btw_8am_4pm,0,0,5,5
Rockway Public School,70 Vanier Dr Kitchener ON N2C 1J5,43.4287303,-80.46336958478244,Lockdown School Day,btw_6am_6pm,0,0,1,1
Rockway Public School,70 Vanier Dr Kitchener ON N2C 1J5,43.4287303,-80.46336958478244,Lockdown School Day,btw_7am_5pm,0,0,1,1
Rockway Public School,70 Vanier Dr Kitchener ON N2C 1J5,43.4287303,-80.46336958478244,Lockdown School Day,btw_8am_4pm,0,0,1,1
Rockway Public School,70 Vanier Dr Kitchener ON N2C 1J5,43.4287303,-80.46336958478244,Regular School Day,btw_6am_6pm,0,0,7,7
Rockway Public School,70 Vanier Dr Kitchener ON N2C 1J5,43.4287303,-80.46336958478244,Regular School Day,btw_7am_5pm,0,0,6,6
Rockway Public School,70 Vanier Dr Kitchener ON N2C 1J5,43.4287303,-80.46336958478244,Regular School Day,btw_8am_4pm,0,0,4,4
Rosemount School,175 Indian Rd Kitchener ON N2B 2S7,43.45655415,-80.43678110602693,Regular School Day,btw_6am_6pm,0,0,6,6
Rosemount School,175 Indian Rd Kitchener ON N2B 2S7,43.45655415,-80.43678110602693,Regular School Day,btw_7am_5pm,0,0,5,5
Rosemount School,175 Indian Rd Kitchener ON N2B 2S7,43.45655415,-80.43678110602693,Regular School Day,btw_8am_4pm,0,0,4,4
Saint John Paul II,"75 Pebblecreek Drive Kitchener, ON N2A 4K1",43.4489905,-80.41183658143837,Regular School Day,btw_6am_6pm,1,0,5,6
Saint John Paul II,"75 Pebblecreek Drive Kitchener, ON N2A 4K1",43.4489905,-80.41183658143837,Regular School Day,btw_7am_5pm,1,0,5,6
Saint John Paul II,"75 Pebblecreek Drive Kitchener, ON N2A 4K1",43.4489905,-80.41183658143837,Regular School Day,btw_8am_4pm,1,0,4,5
