accidentnum,accidentdate,accident_year,accident_month,accident_hour,accident_weekday,latitude,latitude_new,latitude_use,longitude,longitude_new,longitude_use,xcoord,ycoord,accidentlocation,classificationofaccident,impactlocation,initialimpacttype,trafficcontrol,pedestrianinvolved,cyclistinvolved,environmentcondition1,xmlimportnotes
15-005289,1/8/2015 2:37:00 PM,2015,1,14,Thursday,43.439427,43.43941850502666,43.439427,-80.499704,-80.49970028052216,-80.499704,540486.84057,4809734.89612,At intersection,Non-fatal injury,Within intersection,Angle,Stop sign,FALSE,FALSE,Clear,QUEENS BV; SPADINA RD E
15-005306,1/8/2015 2:57:00 PM,2015,1,14,Thursday,43.45873,43.4587215010143,43.45873,-80.48643,-80.48642628308238,-80.48643,541547.82764,4811885.16989,Intersection related,P.D. only,Thru lane,Rear end,Stop sign,FALSE,FALSE,Clear,BREITHAUPT ST ; ST LEGER ST ; At
15-005781,1/8/2015 8:30:00 AM,2015,1,8,Thursday,43.468484,43.468475499077066,43.468484,-80.482629,-80.48262528329347,-80.482629,541848.59793,4812970.32828,At/near private drive,P.D. only,Thru lane,SMV unattended vehicle,No control,FALSE,FALSE,Clear,ARNOLD ST
15-005790,1/9/2015 10:57:00 AM,2015,1,10,Friday,43.401117,43.40110851025168,43.401117,-80.468089,-80.46808529397885,-80.468089,543072.44239,4805496.15872,Intersection related,Non-fatal injury,Thru lane,Rear end,Stop sign,FALSE,FALSE,Snow,TRILLIUM DR; STRASBURG RD
15-005806,1/9/2015 11:23:00 AM,2015,1,11,Friday,43.436829,43.436820505403865,43.436829,-80.497867,-80.49786328136433,-80.497867,540637.23891,4809447.26408,At intersection,P.D. only,Within intersection,Angle,Stop sign,FALSE,FALSE,Snow,PLEASANT AV; GLEN RD; At
15-006091,1/9/2015 5:00:00 PM,2015,1,17,Friday,43.419856,43.419847509889095,43.419856,-80.529718,-80.5297142728883,-80.529718,538070.21462,4807547.25661,Intersection related,P.D. only,Thru lane,Rear end,Stop sign,FALSE,FALSE,Snow,MCGARRY DR; WESTHEIGHTS DR; At
15-006426,1/10/2015 8:34:00 AM,2015,1,8,Saturday,43.455002,43.454993502823335,43.455002,-80.511454,-80.51145027548793,-80.511454,539525.82601,4811458.97032,At/near private drive,P.D. only,Thru lane,Turning movement,Stop sign,FALSE,FALSE,Clear,PARK ST ; GILDNER TS; 23 M
15-006556,1/9/2015 4:00:00 PM,2015,1,16,Friday,43.438871,43.43886250481213,43.438871,-80.493171,-80.49316728267799,-80.493171,541015.90089,4809676.34334,At/near private drive,P.D. only,Thru lane,Rear end,No control,FALSE,FALSE,Clear,HIGHLAND RD E; SPADINA RD E
15-006725,1/10/2015 3:05:00 PM,2015,1,15,Saturday,43.44366,43.44365150420361,43.44366,-80.497842,-80.49783828080612,-80.497842,540634.69027,4810205.90731,Non intersection,P.D. only,Thru lane,Other,No control,FALSE,FALSE,Clear,DAVID ST; JUBILEE DR ; Near; 30 M
15-007514,1/11/2015 3:58:00 PM,2015,1,15,Sunday,43.419581,43.41957250972321,43.419581,-80.52545,-80.52544627419353,-80.52545,538415.88874,4807518.6741,At/near private drive,P.D. only,Thru lane,SMV unattended vehicle,No control,FALSE,FALSE,Snow,MEADOWLANE DR; FORESTWOOD DR ; 60 M
15-007594,1/11/2015 6:00:00 PM,2015,1,18,Sunday,43.404534,43.40452551214907,43.404534,-80.520066,-80.52006227732834,-80.520066,538861.35254,4805850.10178,At/near private drive,P.D. only,Thru lane,SMV unattended vehicle,No control,FALSE,FALSE,Snow,ACTIVA AVE ; ACTIVA AVE ; Near; 2 M
15-007985,1/12/2015 10:46:00 AM,2015,1,10,Monday,43.420794,43.42078550923892,43.420794,-80.520174,-80.52017027576072,-80.520174,538842.21443,4807655.83084,At/near private drive,P.D. only,Not on roadway - right side,SMV other,No control,FALSE,FALSE,Clear,FORESTWOOD DR; 86  FORESTWOOD; 2 M
15-008087,1/12/2015 9:30:00 AM,2015,1,9,Monday,43.453459,43.453450498580395,43.453459,-80.41658,-80.41657630556459,-80.41658,547202.76208,4811336.99563,Non intersection,P.D. only,Not on roadway - right side,SMV other,No control,FALSE,FALSE,Snow,KEEWATIN AVE ; 228 KEEWATIN AVE ; Near; 5 M
15-008130,1/12/2015 1:36:00 PM,2015,1,13,Monday,43.443144,43.44313550399595,43.443144,-80.492299,-80.49229528260399,-80.492299,541083.57692,4810151.31999,Non intersection,P.D. only,Thru lane,SMV unattended vehicle,No control,FALSE,FALSE,Snow,BRUDER AVE; BENTON ST ; Near; 100 M
15-008282,1/12/2015 4:35:00 PM,2015,1,16,Monday,43.417204,43.417195509401786,43.417204,-80.51013,-80.51012627931559,-80.51013,539657.62004,4807261.86665,At/near private drive,P.D. only,Thru lane,Turning movement,No control,FALSE,FALSE,Clear,100 NINE PINES RD; OTTAWA ST S; 40 M
15-008642,1/13/2015 8:20:00 AM,2015,1,8,Tuesday,43.45449,43.454481501687674,43.45449,-80.485426,-80.48542228376888,-80.485426,541631.95958,4811414.78767,At intersection,P.D. only,Within intersection,SMV other,Traffic signal,FALSE,FALSE,Clear,MARGARET AV; QUEEN ST N; At
15-008644,1/13/2015 9:08:00 AM,2015,1,9,Tuesday,43.421768,43.42175950960023,43.421768,-80.531184,-80.53118027227242,-80.531184,537950.34572,4807758.92851,Non intersection,P.D. only,Thru lane,Sideswipe,No control,FALSE,FALSE,Clear,AUTUMN HILL CRES; 209 AUTUMN HILL CRES; 1 M
15-008844,1/13/2015 12:42:00 PM,2015,1,12,Tuesday,43.397939,43.397930509775804,43.397939,-80.446698,-80.4466943010842,-80.446698,544806.94905,4805154.49316,At intersection,P.D. only,Left turn lane,Rear end,Stop sign,FALSE,FALSE,Clear,DOON VILLAGE RD ; MILLWOOD CRES ; 10 M
15-009042,1/13/2015 3:45:00 PM,2015,1,15,Tuesday,43.433867,43.43385850577684,43.433867,-80.495972,-80.49596828230887,-80.495972,540792.58845,4809119.23908,Intersection related,P.D. only,Thru lane,Rear end,No control,FALSE,FALSE,Clear,STIRLING AV S; MAUSSER AV; At
15-009128,1/13/2015 7:17:00 PM,2015,1,19,Tuesday,43.40527,43.4052615115956,43.40527,-80.51296,-80.5129562794747,-80.51296,539436.2603,4805935.17568,At/near private drive,P.D. only,Thru lane,SMV unattended vehicle,No control,FALSE,FALSE,Clear,MOUNTAIN LAUREL CRES; 40 MOUNTAIN LAUREL CR; 1 M
15-009158,1/13/2015 11:50:00 AM,2015,1,11,Tuesday,43.448314,43.448305503070685,43.448314,-80.491564,-80.49156028238232,-80.491564,541139.54955,4810725.84844,Non intersection,P.D. only,Thru lane,Rear end,School bus,FALSE,FALSE,Clear,JOSEPH ST
15-009433,1/14/2015 8:52:00 AM,2015,1,8,Wednesday,43.454687,43.4546785029046,43.454687,-80.510937,-80.51093327559441,-80.510937,539567.85902,4811424.23269,At intersection,P.D. only,Within intersection,Rear end,No control,FALSE,FALSE,Clear,PARK ST; GREEN ST; At
15-009687,1/14/2015 12:00:00 PM,2015,1,12,Wednesday,43.420515,43.42050650668266,43.420515,-80.46433,-80.46432629342024,-80.46433,543362.99083,4807652.38247,Intersection related,P.D. only,Thru lane,Turning movement,Stop sign,FALSE,FALSE,Clear,BLOCK LINE RD; LENNOX LEWIS WY; At
15-009883,1/14/2015 4:56:00 PM,2015,1,16,Wednesday,43.466269,43.46626049985673,43.466269,-80.490981,-80.49097728089268,-80.490981,541174.53709,4812720.17272,At intersection,P.D. only,Within intersection,Angle,Stop sign,FALSE,FALSE,Clear,ST LEGER ST; FAIRFIELD AV; At
15-009916,1/14/2015 5:10:00 PM,2015,1,17,Wednesday,43.426607,43.42659850433294,43.426607,-80.438708,-80.43870430094817,-80.438708,545432.54853,4808342.58842,Non intersection,P.D. only,Thru lane,Rear end,No control,FALSE,FALSE,Clear,KINGSWAY DR; CEDARWOODS CR; Near
15-010628,1/15/2015 3:45:00 PM,2015,1,15,Thursday,43.448435,43.44842650264549,43.448435,-80.482489,-80.48248528517404,-80.482489,541873.75541,4810743.80752,At intersection,P.D. only,Within intersection,Angle,Stop sign,FALSE,FALSE,Clear,CEDAR ST N; DUKE ST E; At
15-010747,1/15/2015 5:00:00 PM,2015,1,17,Thursday,43.39053,43.39052151197788,43.39053,-80.464923,-80.46491929595088,-80.464923,543336.35741,4804322.04621,At/near private drive,P.D. only,Thru lane,SMV unattended vehicle,No control,FALSE,FALSE,Clear,MARL MEADOW DR
15-010996,1/16/2015 2:53:00 AM,2015,1,2,Friday,43.434724,43.43471550535562,43.434724,-80.490103,-80.49009928397142,-80.490103,541266.99999,4809217.3045,Other,P.D. only,Off highway,Other,No control,FALSE,FALSE,Snow,PRIVATE DRIVE; 334 HIGHLAND RD E
15-011104,1/16/2015 8:57:00 AM,2015,1,8,Friday,43.378037,43.37802851283559,43.378037,-80.438017,-80.43801330559467,-80.438017,545524.834,4802948.95468,At/near private drive,P.D. only,Thru lane,Other,No control,FALSE,FALSE,Snow,FOXBROOK CRT; STEEPLERIDGE ST ; At; 30 M
15-011304,1/16/2015 11:31:00 AM,2015,1,11,Friday,43.42102,43.42101150599448,43.42102,-80.453254,-80.45325029686754,-80.453254,544259.23064,4807714.28759,At/near private drive,P.D. only,Thru lane,Angle,No control,FALSE,FALSE,Clear,TRAYNOR AVE; At
15-011331,1/16/2015 9:30:00 AM,2015,1,9,Friday,43.443358,43.443349503640235,43.443358,-80.48511,-80.48510628483639,-80.48511,541665.1662,4810178.65602,At/near private drive,P.D. only,Thru lane,Other,No control,FALSE,FALSE,Clear,MADISON AVE S
15-011397,1/16/2015 1:15:00 PM,2015,1,13,Friday,43.410211,43.41020250546212,43.410211,-80.401294,-80.40129031435957,-80.401294,548474.00595,4806542.77581,At intersection,P.D. only,Other,Angle,No control,FALSE,FALSE,Clear,GRAND HILL DR; DEER RIDGE DR
15-011533,1/16/2015 3:00:00 PM,2015,1,15,Friday,43.458917,43.458908498479175,43.458917,-80.433589,-80.43358529968361,-80.433589,545822.49993,4811933.65007,At/near private drive,P.D. only,Thru lane,SMV unattended vehicle,No control,FALSE,FALSE,Clear,WESTCHESTER DR ; ROSE GARDEN ST ; 300 M
15-011639,1/15/2015 8:10:00 PM,2015,1,20,Thursday,43.446758,43.446749503386435,43.446758,-80.492333,-80.49232928225337,-80.492333,541078.3801,4810552.66393,Non intersection,Non-fatal injury,Thru lane,SMV other,No control,TRUE,FALSE,Clear,QUEEN ST S; 226; 10 M
15-011658,1/16/2015 7:44:00 PM,2015,1,19,Friday,43.464388,43.464379499446565,43.464388,-80.474605,-80.47460128624942,-80.474605,542500.50113,4812519.49948,Non intersection,P.D. only,Thru lane,Rear end,No control,FALSE,FALSE,Clear,WELLINGTON ST N; N HWY 85 TO WELLINGTON ST N; 20 M
15-011829,1/17/2015 12:15:00 AM,2015,1,0,Saturday,43.406786,43.40677751135671,43.406786,-80.512123,-80.51211927955104,-80.512123,539503.04769,4806103.93344,At intersection,P.D. only,Within intersection,Rear end,Stop sign,FALSE,FALSE,Clear,ACTIVA AVE ; BRIDLEWREATH ST ; At; 4 M
15-012115,1/17/2015 12:00:00 AM,2015,1,0,Saturday,43.402448,43.40243951237176,43.402448,-80.517785,-80.51778127815611,-80.517785,539047.38884,4805619.50382,At/near private drive,P.D. only,Thru lane,SMV unattended vehicle,No control,FALSE,FALSE,Clear,SNOWDROP CRES; 218 SNOWDROP CRES; 3 M
15-012215,1/17/2015 11:45:00 AM,2015,1,11,Saturday,43.405764,43.40575551184057,43.405764,-80.519505,-80.51950127728729,-80.519505,538905.99051,4805986.96276,At/near private drive,P.D. only,Thru lane,SMV unattended vehicle,No control,FALSE,FALSE,Clear,PEACH BLOSSOM CRES ; Near
15-013096,1/18/2015 3:10:00 PM,2015,1,15,Sunday,43.406938,43.40692950542312,43.406938,-80.38828,-80.38827631867804,-80.38828,549530.34198,4806186.93644,At/near private drive,P.D. only,Right turn channel,Turning movement,Stop sign,FALSE,FALSE,Clear,GATEWAY PARK DR
15-013172,1/18/2015 5:34:00 PM,2015,1,17,Sunday,43.442124,43.44211550073587,43.442124,-80.419884,-80.41988030550958,-80.419884,546944.21197,4810076.29403,Non intersection,P.D. only,Not on roadway - left side,SMV other,No control,FALSE,FALSE,Snow,IDLE CREEK DR ; IDLE CREEK DR; At; 3 M
15-013560,1/19/2015 8:10:00 AM,2015,1,8,Monday,43.432662,43.43265350676696,43.432662,-80.512337,-80.51233327715524,-80.512337,539468.90843,4808977.53491,At/near private drive,P.D. only,Thru lane,Angle,No control,FALSE,FALSE,Clear,QUEENS BLVD
15-013992,1/18/2015 7:30:00 PM,2015,1,19,Sunday,43.411725,43.41171651132784,43.411725,-80.530342,-80.53033827335193,-80.530342,538024.78838,4806643.97064,At/near private drive,P.D. only,Thru lane,SMV unattended vehicle,No control,FALSE,FALSE,Snow,ERIKA CRT ; 40 ERIKA CRT ; 5 M
15-014077,1/19/2015 11:10:00 PM,2015,1,23,Monday,43.429684,43.42967550431091,43.429684,-80.449833,-80.44982929722649,-80.449833,544529.80869,4808678.30635,At intersection,P.D. only,Within intersection,Angle,Stop sign,FALSE,FALSE,Clear,CONNAUGHT ST; EIGHTH AV
15-014382,1/20/2015 11:30:00 AM,2015,1,11,Tuesday,43.43916,43.43915150509411,43.43916,-80.49999,-80.49998628052327,-80.49999,540463.87387,4809705.10496,At/near private drive,Non-fatal injury,Thru lane,Turning movement,No control,FALSE,FALSE,Clear,QUEENS BLVD ; 875 QUEENS BV; 5 M
15-014628,1/20/2015 4:58:00 PM,2015,1,16,Tuesday,43.453963,43.45395450302381,43.453963,-80.511142,-80.51113827560822,-80.511142,539551.74536,4811343.72981,At/near private drive,P.D. only,Thru lane,Turning movement,No control,FALSE,FALSE,Clear,GLASGOW ST; PARK ST ; At; 40 M
15-014981,1/21/2015 7:50:00 AM,2015,1,7,Wednesday,43.391513,43.391504509972286,43.391513,-80.427113,-80.42710930777493,-80.427113,546397.85628,4804451.55498,Intersection related,P.D. only,Thru lane,Sideswipe,Stop sign,FALSE,FALSE,Clear,OLD CARRIAGE DR; HOMER WATSON BLVD ; 80 M
15-015240,1/21/2015 1:54:00 PM,2015,1,13,Wednesday,43.446861,43.446852503400564,43.446861,-80.492226,-80.49222228230926,-80.492226,541086.96834,4810564.15559,Non intersection,Non-fatal injury,Thru lane,Rear end,No control,FALSE,FALSE,Clear,QUEEN ST S; 242 QUEEN ST S; 1 M
15-016529,1/23/2015 2:49:00 AM,2015,1,2,Friday,43.446904,43.446895503491106,43.446904,-80.49426,-80.49425628161295,-80.49426,540922.35752,4810567.93,Intersection related,P.D. only,Thru lane,Rear end,Stop sign,FALSE,FALSE,Clear,COURTLAND AV W; DAVID ST; At
15-016713,1/22/2015 11:55:00 AM,2015,1,11,Thursday,43.413324,43.413315511541434,43.413324,-80.53959,-80.53958627027231,-80.53959,537275.06971,4806817.37359,Intersection related,P.D. only,Thru lane,Rear end,Stop sign,FALSE,FALSE,Clear,YELLOW BIRCH DR; DRIFTWOOD DR; At
15-016799,1/22/2015 11:00:00 AM,2015,1,11,Thursday,43.451264,43.451255502645516,43.451264,-80.49311,-80.49310628155864,-80.49311,541012.46407,4811052.7052,Non intersection,P.D. only,Thru lane,SMV unattended vehicle,No control,FALSE,FALSE,Clear,KING ST W; Near
15-016908,1/22/2015 10:22:00 AM,2015,1,10,Thursday,43.457562,43.457553501105636,43.457562,-80.483735,-80.48373128399616,-80.483735,541766.65585,4811756.80254,At/near private drive,P.D. only,Thru lane,SMV other,No control,FALSE,FALSE,Clear,HERMIE PL; VICTORIA ST N
15-017525,1/23/2015 6:45:00 PM,2015,1,18,Friday,43.385323,43.385314513648524,43.385323,-80.481929,-80.48192529110203,-80.481929,541962.62613,4803735.08108,At/near private drive,P.D. only,Thru lane,SMV unattended vehicle,No control,FALSE,FALSE,Clear,TOTTENHAM ST
15-018002,1/24/2015 9:24:00 PM,2015,1,21,Saturday,43.422493,43.42248450903428,43.422493,-80.521343,-80.52133927531195,-80.521343,538746.50027,4807843.97214,Non intersection,P.D. only,Thru lane,SMV unattended vehicle,No control,FALSE,FALSE,Clear,ELM RIDGE DR; MCGARRY DR ; Near; 20 M
15-018032,1/24/2015 10:08:00 PM,2015,1,22,Saturday,43.389725,43.38971651005315,43.389725,-80.421657,-80.42165330968119,-80.421657,546841.11007,4804256.03624,Non intersection,P.D. only,Off highway,SMV other,No control,FALSE,FALSE,Snow,DOON SOUTH DR; HOMER WATSON BLVD ; 10 M
15-018546,1/25/2015 2:49:00 PM,2015,1,14,Sunday,43.404079,43.40407051179862,43.404079,-80.51133,-80.51132628003447,-80.51133,539569.01784,4805803.67975,At intersection,P.D. only,Within intersection,Angle,Stop sign,FALSE,FALSE,Clear,DONNENWERTH DR; BRIDLEWREATH ST; At
15-019138,1/26/2015 11:30:00 AM,2015,1,11,Monday,43.386454,43.386445513358616,43.386454,-80.480024,-80.48002029151256,-80.480024,542116.14307,4803861.64563,At/near private drive,P.D. only,Right shoulder,Other,No control,FALSE,FALSE,Clear,MAITLAND ST
15-019166,1/26/2015 12:30:00 PM,2015,1,12,Monday,43.448497,43.448488503042896,43.448497,-80.491891,-80.49188728217143,-80.491891,541112.96692,4810746.0105,Non intersection,P.D. only,Not on roadway - left side,SMV other,Stop sign,FALSE,FALSE,Clear,JOSEPH ST ; ONTARIO ST S; At; 3 M
15-019460,1/26/2015 7:45:00 PM,2015,1,19,Monday,43.409416,43.40940750751182,43.409416,-80.440799,-80.44079530188647,-80.440799,545276.10536,4806432.27455,Non intersection,P.D. only,Thru lane,SMV other,No control,FALSE,FALSE,Clear,WABANAKI DR; WILSON AV; Near
15-019931,1/27/2015 2:32:00 PM,2015,1,14,Tuesday,43.451395,43.45138650241087,43.451395,-80.489576,-80.48957228273069,-80.489576,541298.30906,4811068.99953,Non intersection,P.D. only,Thru lane,Sideswipe,No control,FALSE,FALSE,Clear,DUKE ST W; ONTARIO ST N; Near; 14 M
15-020104,1/27/2015 7:07:00 PM,2015,1,19,Tuesday,43.425319,43.42531050506915,43.425319,-80.448652,-80.44864829791359,-80.448652,544628.60365,4808194.17467,At/near private drive,P.D. only,Right shoulder,SMV unattended vehicle,No control,FALSE,FALSE,Clear,WOODHAVEN RD; WILSON AVE ; 50 M
15-020120,1/27/2015 7:46:00 PM,2015,1,19,Tuesday,43.429675,43.429666504334705,43.429675,-80.449833,-80.44982929720418,-80.449833,544529.81529,4808677.30684,At intersection,P.D. only,Within intersection,Angle,Stop sign,FALSE,FALSE,Clear,EIGHTH AVE ; CONNAUGHT ST
15-020448,1/27/2015 5:30:00 PM,2015,1,17,Tuesday,43.448483,43.44847450399871,43.448483,-80.511353,-80.51134927601332,-80.511353,539538.24392,4810735.03566,At/near private drive,P.D. only,Off highway,Other,No control,FALSE,FALSE,Clear,GAGE AVE ; At
15-020730,1/28/2015 3:38:00 PM,2015,1,15,Wednesday,43.439453,43.43944450503239,43.439453,-80.499693,-80.4996892805355,-80.499693,540487.71341,4809737.78895,At intersection,Non-fatal injury,Within intersection,SMV other,Stop sign,TRUE,FALSE,Clear,QUEENS BLVD; SPADINA RD W; At
15-021009,1/28/2015 10:33:00 PM,2015,1,22,Wednesday,43.427152,43.42714350792745,43.427152,-80.516388,-80.51638427646041,-80.516388,539144.59455,4808363.70091,Non intersection,P.D. only,Not on roadway - right side,SMV other,No control,FALSE,FALSE,Clear,CYPRUS DR; BIRCHCLIFF AVE ; 50 M
15-021195,1/29/2015 8:45:00 AM,2015,1,8,Thursday,43.473781,43.473772495603264,43.473781,-80.428102,-80.42809830008473,-80.428102,546255.05916,4813587.44441,Non intersection,P.D. only,Off highway,SMV other,No control,FALSE,FALSE,Clear,CENTENNIAL RD; CENTENNIAL CT; 100 M
15-021374,1/17/2015 4:10:00 PM,2015,1,16,Saturday,43.472445,43.47243649635636,43.472445,-80.439305,-80.43930129664207,-80.439305,545349.96507,4813432.90937,Other,P.D. only,Off highway,Rear end,No control,FALSE,FALSE,Clear,VALET CAR WASH; VICTORIA ST N
