table,Note ID,Note,Dimension name,Member Name
35-10-0177-01,8,"Abbotsford-Mission, British Columbia and Kingston, Ontario became new census metropolitan areas (CMAs) as of the 2001 Census. Moncton, New Brunswick, Peterborough, Ontario, Brantford, Ontario, Guelph, Ontario, Barrie, Ontario, and Kelowna, British Columbia became new CMAs as of the 2006 Census. Lethbridge, Alberta and Belleville, Ontario became new CMAs as of the 2016 Census. Fredericton, New Brunswick; Drummondville, Quebec; Red Deer, Alberta; Kamloops, British Columbia; Chilliwack, British Columbia and Nanaimo, British Columbia became new CMAs as of the 2021 Census.",Geography,"Kelowna, British Columbia [59915]"
35-10-0177-01,8,"Abbotsford-Mission, British Columbia and Kingston, Ontario became new census metropolitan areas (CMAs) as of the 2001 Census. Moncton, New Brunswick, Peterborough, Ontario, Brantford, Ontario, Guelph, Ontario, Barrie, Ontario, and Kelowna, British Columbia became new CMAs as of the 2006 Census. Lethbridge, Alberta and Belleville, Ontario became new CMAs as of the 2016 Census. Fredericton, New Brunswick; Drummondville, Quebec; Red Deer, Alberta; Kamloops, British Columbia; Chilliwack, British Columbia and Nanaimo, British Columbia became new CMAs as of the 2021 Census.",Geography,"Belleville-Quinte West, Ontario [35522]"
35-10-0177-01,8,"Abbotsford-Mission, British Columbia and Kingston, Ontario became new census metropolitan areas (CMAs) as of the 2001 Census. Moncton, New Brunswick, Peterborough, Ontario, Brantford, Ontario, Guelph, Ontario, Barrie, Ontario, and Kelowna, British Columbia became new CMAs as of the 2006 Census. Lethbridge, Alberta and Belleville, Ontario became new CMAs as of the 2016 Census. Fredericton, New Brunswick; Drummondville, Quebec; Red Deer, Alberta; Kamloops, British Columbia; Chilliwack, British Columbia and Nanaimo, British Columbia became new CMAs as of the 2021 Census.",Geography,"Lethbridge, Alberta [48810]"
35-10-0177-01,8,"Abbotsford-Mission, British Columbia and Kingston, Ontario became new census metropolitan areas (CMAs) as of the 2001 Census. Moncton, New Brunswick, Peterborough, Ontario, Brantford, Ontario, Guelph, Ontario, Barrie, Ontario, and Kelowna, British Columbia became new CMAs as of the 2006 Census. Lethbridge, Alberta and Belleville, Ontario became new CMAs as of the 2016 Census. Fredericton, New Brunswick; Drummondville, Quebec; Red Deer, Alberta; Kamloops, British Columbia; Chilliwack, British Columbia and Nanaimo, British Columbia became new CMAs as of the 2021 Census.",Geography,"Fredericton, New Brunswick [13320]"
35-10-0177-01,8,"Abbotsford-Mission, British Columbia and Kingston, Ontario became new census metropolitan areas (CMAs) as of the 2001 Census. Moncton, New Brunswick, Peterborough, Ontario, Brantford, Ontario, Guelph, Ontario, Barrie, Ontario, and Kelowna, British Columbia became new CMAs as of the 2006 Census. Lethbridge, Alberta and Belleville, Ontario became new CMAs as of the 2016 Census. Fredericton, New Brunswick; Drummondville, Quebec; Red Deer, Alberta; Kamloops, British Columbia; Chilliwack, British Columbia and Nanaimo, British Columbia became new CMAs as of the 2021 Census.",Geography,"Drummondville, Quebec [24447]"
35-10-0177-01,8,"Abbotsford-Mission, British Columbia and Kingston, Ontario became new census metropolitan areas (CMAs) as of the 2001 Census. Moncton, New Brunswick, Peterborough, Ontario, Brantford, Ontario, Guelph, Ontario, Barrie, Ontario, and Kelowna, British Columbia became new CMAs as of the 2006 Census. Lethbridge, Alberta and Belleville, Ontario became new CMAs as of the 2016 Census. Fredericton, New Brunswick; Drummondville, Quebec; Red Deer, Alberta; Kamloops, British Columbia; Chilliwack, British Columbia and Nanaimo, British Columbia became new CMAs as of the 2021 Census.",Geography,"Red Deer, Alberta [48830]"
35-10-0177-01,8,"Abbotsford-Mission, British Columbia and Kingston, Ontario became new census metropolitan areas (CMAs) as of the 2001 Census. Moncton, New Brunswick, Peterborough, Ontario, Brantford, Ontario, Guelph, Ontario, Barrie, Ontario, and Kelowna, British Columbia became new CMAs as of the 2006 Census. Lethbridge, Alberta and Belleville, Ontario became new CMAs as of the 2016 Census. Fredericton, New Brunswick; Drummondville, Quebec; Red Deer, Alberta; Kamloops, British Columbia; Chilliwack, British Columbia and Nanaimo, British Columbia became new CMAs as of the 2021 Census.",Geography,"Kamloops, British Columbia [59925]"
35-10-0177-01,8,"Abbotsford-Mission, British Columbia and Kingston, Ontario became new census metropolitan areas (CMAs) as of the 2001 Census. Moncton, New Brunswick, Peterborough, Ontario, Brantford, Ontario, Guelph, Ontario, Barrie, Ontario, and Kelowna, British Columbia became new CMAs as of the 2006 Census. Lethbridge, Alberta and Belleville, Ontario became new CMAs as of the 2016 Census. Fredericton, New Brunswick; Drummondville, Quebec; Red Deer, Alberta; Kamloops, British Columbia; Chilliwack, British Columbia and Nanaimo, British Columbia became new CMAs as of the 2021 Census.",Geography,"Chilliwack, British Columbia [59930]"
35-10-0177-01,8,"Abbotsford-Mission, British Columbia and Kingston, Ontario became new census metropolitan areas (CMAs) as of the 2001 Census. Moncton, New Brunswick, Peterborough, Ontario, Brantford, Ontario, Guelph, Ontario, Barrie, Ontario, and Kelowna, British Columbia became new CMAs as of the 2006 Census. Lethbridge, Alberta and Belleville, Ontario became new CMAs as of the 2016 Census. Fredericton, New Brunswick; Drummondville, Quebec; Red Deer, Alberta; Kamloops, British Columbia; Chilliwack, British Columbia and Nanaimo, British Columbia became new CMAs as of the 2021 Census.",Geography,"Nanaimo, British Columbia [59938]"
35-10-0177-01,9,Crime data from April to December 2004 for Winnipeg are estimates (except for homicide and motor vehicle theft) due to the implementation of a new records management system. Use with caution when comparing these data with prior years.,Geography,"Winnipeg, Manitoba [46602]"
35-10-0177-01,10,"Approximately half of the vehicle thefts in Winnipeg in 2007 were attempts, higher than the national average of about 15%. Both the decrease in the number of completed vehicle thefts in Winnipeg, as well as the increase in attempted thefts, may be attributed to the new provincial requirement for specific high-risk vehicles to be equipped with immobilizers, rendering these vehicles much more difficult to steal.",Geography,"Winnipeg, Manitoba [46602]"
35-10-0177-01,11,"Prior to 1999, a number of Royal Canadian Mounted Police (RCMP) detachments in Saskatchewan were double counting the number of actual offences of impaired driving. This over-counting was corrected in 1999, therefore, comparisons with previous years should be made with caution. It is recommended that the analysis of impaired driving be based on persons charged data rather than actual offences.",Geography,Saskatchewan [47]
35-10-0177-01,12,"Data for 2001 include estimates for 3 months for the Vancouver police service and 2 months for the Port Moody police service, covering the phase-in period required for a new records management system. In addition, from September 2000 to September 2001, as a result of labour action, there were decreases in the number of crimes reported to the Vancouver police service for certain offences. As a result, the number of Criminal Code offences reported by Vancouver were affected during this period.",Geography,"Vancouver, British Columbia [59933]"
35-10-0177-01,13,"As a result of ongoing investigations in Port Coquitlam, British Columbia, there were 5 homicides reported in the Vancouver census metropolitan area (CMA) total for 2007, 5 reported in 2004, 7 reported in 2003 and 15 included in 2002 that occurred in previous years. Homicides are counted according to the year in which police file the report.",Geography,"Vancouver, British Columbia [59933]"
35-10-0177-01,14,"In 2004, Vancouver police service changed their scoring procedures for reporting impaired driving incidents to include all incidents of impaired driving, not just those resulting in a charge being laid, meaning that incidents cleared by other means, (for example, roadside suspension) are now included. This resulted in almost 1,900 additional incidents being reported in 2004 compared to 2003. Use with caution when comparing these data with prior years.",Geography,"Vancouver, British Columbia [59933]"
35-10-0177-01,15,"1998 data in this table for Northwest Territories also includes Nunavut. In 1999, Nunavut, which comprises the eastern part of the old Northwest Territories, officially became a Canadian territory. Starting in 1999, data are displayed separately for the Northwest Territories and Nunavut.",Geography,Northwest Territories [61]
35-10-0177-01,15,"1998 data in this table for Northwest Territories also includes Nunavut. In 1999, Nunavut, which comprises the eastern part of the old Northwest Territories, officially became a Canadian territory. Starting in 1999, data are displayed separately for the Northwest Territories and Nunavut.",Geography,Nunavut [62]
35-10-0177-01,16,"The violent crime category has been expanded under the Incident-based Uniform Crime Reporting Survey (UCR2) to include a number of offences not previously included in the violent crime category, including uttering threats, criminal harassment and forcible confinement. Therefore, total violent crime counts in this table will not match total violent crime counts from the Aggregate Uniform Crime Reporting Survey (UCR).",Violations,Total violent Criminal Code violations
35-10-0177-01,17,"Homicide data are extracted from the Homicide Survey database. For further information, refer to: <a href=""https://www.statcan.gc.ca/imdb-bmdi/3315-eng.htm"" rel=""external noopener noreferrer"" target=""_blank""> Homicide Survey (opens new window)</a>.",Violations,Homicide
35-10-0177-01,17,"Homicide data are extracted from the Homicide Survey database. For further information, refer to: <a href=""https://www.statcan.gc.ca/imdb-bmdi/3315-eng.htm"" rel=""external noopener noreferrer"" target=""_blank""> Homicide Survey (opens new window)</a>.",Violations,"Murder, first degree"
35-10-0177-01,17,"Homicide data are extracted from the Homicide Survey database. For further information, refer to: <a href=""https://www.statcan.gc.ca/imdb-bmdi/3315-eng.htm"" rel=""external noopener noreferrer"" target=""_blank""> Homicide Survey (opens new window)</a>.",Violations,"Murder, second degree"
35-10-0177-01,17,"Homicide data are extracted from the Homicide Survey database. For further information, refer to: <a href=""https://www.statcan.gc.ca/imdb-bmdi/3315-eng.htm"" rel=""external noopener noreferrer"" target=""_blank""> Homicide Survey (opens new window)</a>.",Violations,Manslaughter
35-10-0177-01,17,"Homicide data are extracted from the Homicide Survey database. For further information, refer to: <a href=""https://www.statcan.gc.ca/imdb-bmdi/3315-eng.htm"" rel=""external noopener noreferrer"" target=""_blank""> Homicide Survey (opens new window)</a>.",Violations,Infanticide
35-10-0177-01,18,Robbery counts have been revised for the years 1998 to 2007. This change has resulted in an increase of approximately 12% annually in the number of reported robbery incidents for this time period. Use caution when comparing these data with prior years.,Violations,Total robbery
35-10-0177-01,18,Robbery counts have been revised for the years 1998 to 2007. This change has resulted in an increase of approximately 12% annually in the number of reported robbery incidents for this time period. Use caution when comparing these data with prior years.,Violations,Robbery
35-10-0177-01,18,Robbery counts have been revised for the years 1998 to 2007. This change has resulted in an increase of approximately 12% annually in the number of reported robbery incidents for this time period. Use caution when comparing these data with prior years.,Violations,Robbery to steal a firearm
35-10-0177-01,19,Counterfeiting counts have been revised for the years 1998 to 2007. This change has resulted in a significant decrease in counterfeiting incidents over this time period. Use with caution when comparing these data with prior years.,Violations,Counterfeiting
35-10-0177-01,20,There is a break in the time series in the offensive weapons category due to different offences being assigned to the weapons offence codes in 1999. Use with caution when comparing these data with prior years.,Violations,"Offensive weapons, explosives"
35-10-0177-01,20,There is a break in the time series in the offensive weapons category due to different offences being assigned to the weapons offence codes in 1999. Use with caution when comparing these data with prior years.,Violations,"Offensive weapons, prohibited"
35-10-0177-01,20,There is a break in the time series in the offensive weapons category due to different offences being assigned to the weapons offence codes in 1999. Use with caution when comparing these data with prior years.,Violations,"Offensive weapons, restricted"
35-10-0177-01,20,There is a break in the time series in the offensive weapons category due to different offences being assigned to the weapons offence codes in 1999. Use with caution when comparing these data with prior years.,Violations,Firearm transfers or serial numbers
35-10-0177-01,20,There is a break in the time series in the offensive weapons category due to different offences being assigned to the weapons offence codes in 1999. Use with caution when comparing these data with prior years.,Violations,Other offensive weapons
35-10-0177-01,21,"Any increase in disturbing the peace violations may be, in part, attributable to a national data quality initiative undertaken by the Royal Canadian Mounted Police (RCMP) to properly account for the types of offences that are aggregated under this offence.",Violations,Disturb the peace
35-10-0177-01,22,This represents the year-over-year (current year over last year) percentage change in the rate of actual incidents.,Statistics,Percentage change in rate
35-10-0177-01,23,Total persons charged is the total of adults charged and youth charged.,Statistics,"Total, persons charged"
35-10-0177-01,24,"In general, the Uniform Crime Reporting Survey (UCR) counts any adult and youth charged for the year in which the charge was laid. The homicide totals, which come from The Homicide Survey, count any adult or youth charged with a homicide that occurred in the reference year, regardless of when the charge was laid.",Violations,Homicide
35-10-0177-01,24,"In general, the Uniform Crime Reporting Survey (UCR) counts any adult and youth charged for the year in which the charge was laid. The homicide totals, which come from The Homicide Survey, count any adult or youth charged with a homicide that occurred in the reference year, regardless of when the charge was laid.",Violations,"Murder, first degree"
35-10-0177-01,24,"In general, the Uniform Crime Reporting Survey (UCR) counts any adult and youth charged for the year in which the charge was laid. The homicide totals, which come from The Homicide Survey, count any adult or youth charged with a homicide that occurred in the reference year, regardless of when the charge was laid.",Violations,"Murder, second degree"
35-10-0177-01,24,"In general, the Uniform Crime Reporting Survey (UCR) counts any adult and youth charged for the year in which the charge was laid. The homicide totals, which come from The Homicide Survey, count any adult or youth charged with a homicide that occurred in the reference year, regardless of when the charge was laid.",Violations,Manslaughter
35-10-0177-01,24,"In general, the Uniform Crime Reporting Survey (UCR) counts any adult and youth charged for the year in which the charge was laid. The homicide totals, which come from The Homicide Survey, count any adult or youth charged with a homicide that occurred in the reference year, regardless of when the charge was laid.",Violations,Infanticide
35-10-0177-01,25,"Any reference to Police Officer has been changed to read Peace Officer, as per the Canadian Criminal Code. Peace officer refers to any person employed for the preservation and maintenance of the public peace or for the service or execution of civil process. Examples of a Peace Officer are a mayor, warden, police officer, or bailiff constable. Please see the Canadian Criminal Code for a complete list of designates.",Violations,Total assaults against a peace officer
35-10-0177-01,26,"Sexual violations against children is a new crime category with only partial data available prior to 2008. As a result, numbers and rates should not be directly compared to data from previous years.",Violations,Total sexual violations against children
35-10-0177-01,26,"Sexual violations against children is a new crime category with only partial data available prior to 2008. As a result, numbers and rates should not be directly compared to data from previous years.",Violations,Sexual interference
35-10-0177-01,26,"Sexual violations against children is a new crime category with only partial data available prior to 2008. As a result, numbers and rates should not be directly compared to data from previous years.",Violations,Invitation to sexual touching
35-10-0177-01,26,"Sexual violations against children is a new crime category with only partial data available prior to 2008. As a result, numbers and rates should not be directly compared to data from previous years.",Violations,Sexual exploitation
35-10-0177-01,26,"Sexual violations against children is a new crime category with only partial data available prior to 2008. As a result, numbers and rates should not be directly compared to data from previous years.",Violations,Luring a child via a computer
35-10-0177-01,27,"In 2002, legislative changes were made to include the use of the Internet for the purpose of committing child pornography offences. As such, the percent change in this offence is calculated from 2003 to 2009.",Violations,Child Sexual Abuse and Exploitation Material (Possessing or Accessing)
35-10-0177-01,28,"Youth crime in British Columbia may be somewhat undercounted due to the Crown charge-approval system in place whereby, even for minor offences, there must be approval by the Crown before charges are laid after police have made an arrest. This approval is based on the substantial likelihood of conviction.",Geography,British Columbia [59]
35-10-0177-01,28,"Youth crime in British Columbia may be somewhat undercounted due to the Crown charge-approval system in place whereby, even for minor offences, there must be approval by the Crown before charges are laid after police have made an arrest. This approval is based on the substantial likelihood of conviction.",Geography,"Vancouver, British Columbia [59933]"
35-10-0177-01,28,"Youth crime in British Columbia may be somewhat undercounted due to the Crown charge-approval system in place whereby, even for minor offences, there must be approval by the Crown before charges are laid after police have made an arrest. This approval is based on the substantial likelihood of conviction.",Geography,"Victoria, British Columbia [59935]"
35-10-0177-01,28,"Youth crime in British Columbia may be somewhat undercounted due to the Crown charge-approval system in place whereby, even for minor offences, there must be approval by the Crown before charges are laid after police have made an arrest. This approval is based on the substantial likelihood of conviction.",Geography,"Abbotsford-Mission, British Columbia [59932]"
35-10-0177-01,28,"Youth crime in British Columbia may be somewhat undercounted due to the Crown charge-approval system in place whereby, even for minor offences, there must be approval by the Crown before charges are laid after police have made an arrest. This approval is based on the substantial likelihood of conviction.",Geography,"Kelowna, British Columbia [59915]"
35-10-0177-01,30,"In January 2010, the Uniform Crime Reporting Survey (UCR) was modified to create new violation codes for identity fraud and identity theft. Prior to 2010, those offences would have been coded as fraud.",Violations,Fraud
35-10-0177-01,30,"In January 2010, the Uniform Crime Reporting Survey (UCR) was modified to create new violation codes for identity fraud and identity theft. Prior to 2010, those offences would have been coded as fraud.",Violations,Identity theft
35-10-0177-01,30,"In January 2010, the Uniform Crime Reporting Survey (UCR) was modified to create new violation codes for identity fraud and identity theft. Prior to 2010, those offences would have been coded as fraud.",Violations,Identity fraud
35-10-0177-01,31,"Populations at the census metropolitan areas (CMA) level by age and sex are not available prior to 2004, and as a result, rates for adults and youth are not available for these years.",Statistics,"Rate, total persons charged per 100,000 population aged 12 years and over"
35-10-0177-01,31,"Populations at the census metropolitan areas (CMA) level by age and sex are not available prior to 2004, and as a result, rates for adults and youth are not available for these years.",Statistics,"Rate, adult charged per 100,000 population aged 18 years and over"
35-10-0177-01,31,"Populations at the census metropolitan areas (CMA) level by age and sex are not available prior to 2004, and as a result, rates for adults and youth are not available for these years.",Statistics,"Rate, youth charged per 100,000 population aged 12 to 17 years"
35-10-0177-01,31,"Populations at the census metropolitan areas (CMA) level by age and sex are not available prior to 2004, and as a result, rates for adults and youth are not available for these years.",Statistics,"Rate, youth not charged per 100,000 population aged 12 to 17 years"
35-10-0177-01,32,The 2009 Sherbrooke clearance rate is exceptionally high because of dedicated efforts throughout the year to update the database before a major conversion in informatics.,Geography,"Sherbrooke, Quebec [24433]"
35-10-0177-01,33,"In 2009, slight changes were made to the respondent-to-CMA mapping for this census metropolitan area (CMA) which have resulted in minor revisions to previously published data.",Geography,"Toronto, Ontario [35535]"
35-10-0177-01,33,"In 2009, slight changes were made to the respondent-to-CMA mapping for this census metropolitan area (CMA) which have resulted in minor revisions to previously published data.",Geography,"Hamilton, Ontario [35537]"
35-10-0177-01,34,"Historically police services have reported kidnapping and forcible confinement under a single combined violation code. In 2008 the Incident-based Uniform Crime Reporting Survey (UCR2) introduced separate codes for these violations which police services utilize as their Records Management Systems are updated to allow them. As a result, comparison with previous years should be done with caution.",Violations,Forcible confinement or kidnapping
35-10-0177-01,34,"Historically police services have reported kidnapping and forcible confinement under a single combined violation code. In 2008 the Incident-based Uniform Crime Reporting Survey (UCR2) introduced separate codes for these violations which police services utilize as their Records Management Systems are updated to allow them. As a result, comparison with previous years should be done with caution.",Violations,Kidnapping
35-10-0177-01,34,"Historically police services have reported kidnapping and forcible confinement under a single combined violation code. In 2008 the Incident-based Uniform Crime Reporting Survey (UCR2) introduced separate codes for these violations which police services utilize as their Records Management Systems are updated to allow them. As a result, comparison with previous years should be done with caution.",Violations,Forcible confinement
35-10-0177-01,34,"Historically police services have reported kidnapping and forcible confinement under a single combined violation code. In 2008 the Incident-based Uniform Crime Reporting Survey (UCR2) introduced separate codes for these violations which police services utilize as their Records Management Systems are updated to allow them. As a result, comparison with previous years should be done with caution.",Violations,Total forcible confinement or kidnapping
35-10-0177-01,35,"In 2009, legislation was introduced to create the offences of assault with a weapon or causing bodily harm to a peace officer (level 2) and aggravated assault to a peace officer (level 3). The introduction of these new codes into the UCR Survey created a system anomaly which resulted in some non-peace officer assaults being coded as peace officer assaults in 2010. Comparisons to 2010 should be made with caution.",Violations,Total assaults against a peace officer
35-10-0177-01,36,"For the period from 1998 to 2007 Incident-based Uniform Crime Reporting Survey (UCR2) data on criminal harassment are not available for all respondents. In order to report this violation for police services still reporting to the aggregate Uniform Crime Reporting Survey (UCR) over this time, a process of imputation was applied to derive counts using the distribution of 'other' Criminal Code offences from existing Incident-based Uniform Crime Reporting Survey (UCR2) respondents.",Violations,Criminal harassment
35-10-0177-01,37,"Data for Sherbrooke were not available in 2010, and therefore have been copied over from 2009 at the request of the police service.",Geography,"Sherbrooke, Quebec [24433]"
35-10-0177-01,38,"Clearance data for Montreal were not available in 2010, and therefore have been estimated based on clearance information from previous years.",Geography,"Montréal, Quebec [24462]"
35-10-0177-01,39,Data on youth charged and youth not charged may include a small number of people under the age of 12.,Statistics,"Total, youth charged"
35-10-0177-01,39,Data on youth charged and youth not charged may include a small number of people under the age of 12.,Statistics,"Total, youth not charged"
35-10-0177-01,40,"Data for youth charged and youth not charged for impaired driving are not available prior to 2007. As a result, comparisons of Total all violations and Total Criminal Code violations (including traffic) over time should be made with caution.",Statistics,"Total, youth charged"
35-10-0177-01,40,"Data for youth charged and youth not charged for impaired driving are not available prior to 2007. As a result, comparisons of Total all violations and Total Criminal Code violations (including traffic) over time should be made with caution.",Statistics,"Total, youth not charged"
35-10-0177-01,42,"In April 2011, legislation came into effect making it an offence to traffic in property obtained by crime, including possession with intent to traffic property obtained by crime. In addition to creating new Uniform Crime Reporting Survey (UCR) violation codes to capture these offences, the existing UCR violation code pertaining to possession of stolen property was modified. The UCR now separates possession of stolen property into possession of stolen property under $5,000 and possession of stolen property over $5,000 in order to be more in line with the Criminal Code of Canada. As a result of this change, a number of incidents of possession of stolen property under $5,000 are now being reported as secondary offences when they occur in conjunction with more serious offences, leading to a decrease in the number of possession of stolen property incidents reported in 2011.",Violations,Total possession of stolen property
