table,kind,level,flag,meaning,rows,columns,examples
14-10-0459-01,footnote,note,12,"The standard error (SE) of an estimate is an indicator of the variability associated with this estimate, as the estimate is based on a sample rather than the entire population. The SE can be used to construct confidence intervals and calculate coefficients of variation (CVs). The confidence interval can be built by adding the SE to an estimate in order to determine the upper limit of this interval, and by subtracting the same amount from the estimate to determine the lower limit. The CV can be calculated by dividing the SE by the estimate. See Section 7 of the Guide to the Labour Force Survey (opens new window) for more information. The standard errors presented in this table are the average of the standard errors for 12 previous months, and are updated twice a year, in February and August.",,Statistics: Standard error of estimate,
14-10-0459-01,footnote,note,14,"The standard error (SE) for the year-over-year change is an indicator of the variability associated with the estimate of the change between a given month in a given year and the same month of the previous year, because each month's estimate is based on a sample rather than the entire population. The SE can be used to construct confidence intervals: it can be added to an estimate in order to determine the upper limit of this interval, and then subtracted from the same estimate to determine the lower limit. Using this method, the true value will fall within one SE of the estimate, approximately 68% of the time, and within two standard errors, approximately 95% of the time. For example, if the estimated employment level increases by 160,000 over 12 months and the associated SE is 55,000, the true value of the change in employment has approximately a 68% chance of falling between +105,000 and +215,000. This change would be considered statistically significant at the 68% level as the confidence interval excludes zero. However, if the increase is 40,000, the interval would be -15,000 to +95,000, and this increase would not be considered statistically significant since the interval includes zero. See Section 7 of the Guide to the Labour Force Survey (opens new window) for more information. The standard errors presented in this table are the average of standard errors for 12 previous months and are updated twice a year, in February and August. Note that estimates of the year-over-year change are not included in the tables. They can be calculated by taking the estimate level for a given month in a given year and subtracting from it the estimate level of the same month in the previous year.",,Statistics: Standard error of year-over-year change,
14-10-0459-01,footnote,note,2,"Fluctuations in economic time series are caused by seasonal, cyclical and irregular movements. A seasonally adjusted series is one from which seasonal movements have been eliminated. Seasonal movements are defined as those which are caused by regular annual events such as climate, holidays, vacation periods and cycles related to crops, production and retail sales associated with Christmas and Easter. It should be noted that the seasonally adjusted series contain irregular as well as longer-term cyclical fluctuations. The seasonal adjustment program differentiates between these seasonal, cyclical and irregular movements in a series over a number of years and, on the basis of past movements, estimates appropriate seasonal factors for current data. On an annual basis, the historic series of seasonally adjusted data are revised in light of the most recent information on changes in seasonality. For more information on seasonal adjustment see Seasonal adjustment: Concepts and interpretation (opens new window)..",,whole table,
17-10-0005-01,footnote,caution,8,"The demographic estimates now incorporate the concept of gender, which was first introduced in the 2021 Census of Population. Gender refers to an individual's personal and social identity as a man, woman or non-binary person (a person who is not exclusively a man or a woman). Demographic estimates are available for the gender category ""Men+"", which includes men (and/or boys), as well as some non-binary persons, and for the gender category “Women+"" category, which includes women (and/or girls), as well as some non-binary persons. For the sake of uniformity, all data products from the Demographic Estimates Program now adopt the term ‘gender’ for all years and periods. Prior to 2021, the demographic estimates are based on the concept of sex at birth. Although gender and sex at birth are two different concepts, this change does not cause a significant break in the trend because the two concepts produce very similar distributions. Population estimates by age and sex at birth are available upon request (please contact statcan.demography-demographie.statcan@statcan.gc.ca).",,whole table,
17-10-0005-01,footnote,note,1,Postcensal estimates are based on the 2021 Census counts adjusted for census net undercoverage (CNU) (including adjustment for incompletely enumerated reserves and settlements (IERS)) and the components of demographic growth that occurred since that census. Intercensal estimates are produced using counts from two consecutive censuses adjusted for CNU (including IERS) and postcensal estimates.,,whole table,
17-10-0005-01,footnote,note,2,"Estimates are final intercensal up to 2020, final postcensal for 2021, 2022 and 2023, updated postcensal for 2024 and 2025, and preliminary postcensal for 2026.",,whole table,
17-10-0148-01,footnote,note,4,Postcensal estimates are based on the latest census counts adjusted for census net undercoverage (including adjustment for incompletely enumerated reserves and settlements) and for the estimated population growth that occurred since that census. Intercensal estimates are based on postcensal estimates and census counts adjusted of the censuses preceding and following the year in consideration.,,whole table,
17-10-0148-01,footnote,note,5,"Population estimates as of July 1 are final intercensal up to 2020, final postcensal for 2021, updated postcensal for 2022 to 2024, and preliminary postcensal for 2025.",,whole table,
17-10-0152-01,footnote,note,3,Postcensal estimates are based on the latest census counts adjusted for census net undercoverage (including adjustment for incompletely enumerated reserves and settlements) and for the estimated population growth that occurred since that census. Intercensal estimates are based on postcensal estimates and census counts adjusted of the censuses preceding and following the year in consideration.,,whole table,
17-10-0152-01,footnote,note,4,"Population estimates as of July 1 are final intercensal up to 2020, final postcensal for 2021, updated postcensal for 2022 to 2024, and preliminary postcensal for 2025.",,whole table,
17-10-0153-01,footnote,note,10,The estimates for net interprovincial migration are final up to 2023/2024 and preliminary for 2024/2025.,,Components of population growth: Net interprovincial migration,
17-10-0153-01,footnote,note,11,"The estimates for net intraprovincial migration are final up to 2023/2024 and preliminary for 2024/2025. For Quebec’s census divisions, preliminary and final data (from 2001/2002) are taken from the estimates of ""l'Institut de la statistique du Québec"" (ISQ). In rare instances, it may have been necessary to modify ISQ’s estimates in order to avoid generating negative populations with the cohort component approach.",,Components of population growth: Net intraprovincial migration,
17-10-0153-01,footnote,note,12,"The estimates for net non-permanent residents are final up to 2022/2023, updated for 2023/2024 and preliminary for 2024/2025.",,Components of population growth: Net non-permanent residents,
17-10-0153-01,footnote,note,3,"The estimates for births are final up to 2020/2021, updated for 2021/2022 to 2023/2024, and preliminary for 2024/2025. Preliminary and updated estimates of births were produced by the Centre for Demography at Statistics Canada (see definitions, data sources and methods, record numbers 3601 (opens new window) and 3608 (opens new window)), with the exception of Quebec's data, which are taken from the estimates of ""l'Institut de la statistique du Québec"" (ISQ) and then adjusted to Statistics Canada's provincial estimates. Final data were produced by the Centre for Population Health Data at Statistics Canada (see definitions, data sources and methods, record number 3231 (opens new window)). However, before 2011, the final estimates included in this table may differ from the data released by the Centre for Population Health Data, due to the imputation of certain unknown values (province, territory or gender).",,Components of population growth: Births,
17-10-0153-01,footnote,note,4,"The estimates for deaths are final up to 2020/2021, updated for 2021/2022 to 2023/2024, and preliminary for 2024/2025. Preliminary and updated estimates of deaths were produced by the Centre for Demography at Statistics Canada (see definitions, data sources and methods, record numbers 3601 (opens new window) and 3608 (opens new window)), with the exception of Quebec's data, which are taken from the estimates of ""l'Institut de la statistique du Québec"" (ISQ) and then adjusted to Statistics Canada's provincial estimates. Final data were produced by the Centre for Population Health Data at Statistics Canada (see definitions, data sources and methods, record number 3233 (opens new window)). However, before 2011, the final estimates may differ from the data released by the Centre for Population Health data due to the imputation of certain unknown values. In addition, for estimates of deaths, the age represents age at the beginning of the period (July 1st) and not the age at the time of occurrence, as with the data from the Centre for Population Health Data.",,Components of population growth: Deaths,
17-10-0153-01,footnote,note,5,The estimates for immigrants are final up to 2023/2024 and preliminary for 2024/2025.,,Components of population growth: Immigrants,
18-10-0205-01,footnote,caution,13,"New Housing price indexes denoted with the data quality indicator “E”, should be used with caution.",,whole table,
33-10-0270-01,symbol,unusable,E,use with caution (never used on this site),26,status,33-10-0270-01 / Canada / Business sector industries [T004] / Active businesses; 33-10-0270-01 / Canada / Business sector industries [T004] / Opening businesses; 33-10-0270-01 / Canada / Business sector industries [T004] / Closing businesses
34-10-0292-01,footnote,caution,10,Data processing methodology has been updated as of January 2018. Comparisons between the previous data and the subsequent data should be used with caution.,,whole table,
34-10-0292-01,footnote,note,11,The sum may not add up to the total due to rounding.,,whole table,
35-10-0026-01,footnote,caution,21,"The Crime Severity Index is not available for police services or detachments with populations less than 1,000. Data for police services or detachments with populations less than 5,000 should be used with caution.",,Statistics: Crime severity index,
35-10-0026-01,footnote,caution,44,"In January 2018, the Uniform Crime Reporting Survey (UCR) definitions of “founded” and “unfounded” criminal incidents were updated to reflect a more victim-centred approach for recording crimes that consider the complexities of certain offences such as sexual assault, family violence and intimate partner violence. Under the new reporting standards, specific offences may be more likely reported by police as founded rather than unfounded (or unsubstantiated), which would exclude them from police-reported crime rates and crime severity indices. Data for 2019 represent the first complete year of UCR data collected under the new reporting standards. As a result, for selected violations and police services, the actual proportion of incidents in 2019 that were classified as “not cleared” has increased. Use caution when comparing these data with prior years.",,whole table,
35-10-0026-01,footnote,note,1,"The crime severity index is calculated using Incident-based Uniform Crime Reporting Survey (UCR2) data. Incident-based UCR2 data are not available for all respondents. In order to report this level of detail for police services still reporting to the Aggregate Uniform Crime Reporting Survey (UCR) over this time, a process of imputation was applied to derive counts for violations that do not exist on their own in the aggregate survey. For approximately 80% of the aggregate offence codes, there is a 1:1 mapping with a new incident-based violation code. For violations where this was not the case, such as the aggregate other Criminal Code category, it was necessary to estimate (impute) this figure using the distribution of other Criminal Code offences from existing Incident-based UCR2 respondents.",,whole table,
35-10-0026-01,footnote,note,2,"During the production of each year's crime statistics, data from the previous year are revised to reflect any updates or changes that have been received from the police services.",,whole table,
35-10-0026-01,footnote,note,20,"The Crime Severity Index (CSI) measures changes in the level of severity of crime in Canada from year to year. In the index, all crimes are assigned a weight based on their seriousness. The level of seriousness is based on actual sentences handed down by the courts in all provinces and territories. More serious crimes are assigned higher weights, less serious offences lower weights. As a result, more serious offences have a greater impact on changes in the index. The PRCSI is standardized to 100 in base year 2006. CSI weights are updated using data from the Integrated Criminal Courts Survey (ICCS) every 5 years. 2022 marks the third update to the CSI weights since 1998. 2021 revised and 2022 CSI data are presented here using the updated weights and may have a marginal impact on the CSI data itself.",,Statistics: Crime severity index,
35-10-0026-01,footnote,note,33,"With the release of 2012 data, revised population estimates at the respondent level were applied back to and including 2004. This resulted in boundary changes for the census metropolitan area (CMA) of Saint John for 2005 to 2011 and for Winnipeg for 2011. Crime data for these years for these respondents have therefore been revised.",,whole table,
35-10-0026-01,footnote,note,34,"In 2012, it was discovered that the Montreal Police Service had been incorrectly applying the agreed upon definition for reporting child pornography incidents to the Uniform Crime Reporting Survey (UCR2). As such, the number of violations has been revised for the years 2008 to 2011.",,Geography: Canada,
35-10-0026-01,footnote,note,7,"During the revision of 2001 data for the province of Ontario, a discrepancy in methodology applied by the forces in the province using the Ontario Municipal and Provincial Police Automated Co-operative (OMPPAC) system was detected. These forces report approximately one-third of the total criminal incidents for the province and include the Ontario Provincial Police and about 60 small and mid-sized municipal forces. This discrepancy resulted in an over-count of less serious criminal incidents. During 2003 and 2004, the Canadian Centre for Justice Statistics (CCJS) consulted with affected police services and analyzed both historical Aggregate Uniform Crime Reporting Survey (UCR) data and more recent Incident-based Uniform Crime Reporting Survey (UCR2) microdata to determine the impact of this over-reporting. The effect at the Canada level was, on average, 1% per year from 1977 to 2000. This over-counting peaked in 1991, where it was estimated that the total crime rate for the country was over-estimated by approximately 1.8%. However, the overall historical trend changed very little. The impact in Ontario is more noticeable, but the overall trend is still very similar. On average, the effect was 2% to 3% per year, with the biggest change occurring in 1991, where the Ontario crime rate is 5% lower as a result of the adjustment. For further information, refer to the report: Summary of Historical Adjustments to Crime Data for Ontario 1977-2000.",,Geography: Ontario [35],
35-10-0177-01,footnote,caution,116,"The 2022 and 2021 'Other Federal Statutes' incidents reported to the Uniform Crime Reporting Survey by the Canadian Pacific Railway Police may be an undercount due to inaccurate survey coding guidelines. As a result, these data should be interpreted with caution.",,Geography: Ontario [35],
35-10-0177-01,footnote,caution,97,"In January 2018, the Uniform Crime Reporting Survey (UCR) definitions of “founded” and “unfounded” criminal incidents were updated to reflect a more victim-centred approach for recording crimes that consider the complexities of certain offences such as sexual assault, family violence and intimate partner violence. Under the new reporting standards, specific offences may be more likely reported by police as founded rather than unfounded (or unsubstantiated), which would exclude them from police-reported crime rates and crime severity indices. Data for 2019 represent the first complete year of UCR data collected under the new reporting standards. As a result, for selected violations and police services, the actual proportion of incidents in 2019 that were classified as “not cleared” has increased. Use caution when comparing these data with prior years.",,whole table,
35-10-0177-01,footnote,note,1,"Incident-based Uniform Crime Reporting Survey (UCR2) data are not available for all respondents. In order to report this level of detail for police services still reporting to the Aggregate Uniform Crime Reporting Survey (UCR) over this time, a process of imputation was applied to derive counts for violations that do not exist on their own in the aggregate survey. For approximately 80% of the aggregate offence codes, there is a 1:1 mapping with a new incident-based violation code. For violations where this was not the case, such as the aggregate other Criminal Code category, it was necessary to estimate (impute) this figure using the distribution of other Criminal Code offences from existing Incident-based UCR2 respondents.",,whole table,
35-10-0177-01,footnote,note,108,"Under the authority of the Canadian Forces Provost Marshal (CFPM), the Canadian Forces Military Police Group (CF MP Gp) is now reporting incidents to the Uniform Crime Reporting (UCR) Survey. They have provided incidents going back to January 2020. Data from the Office of the CFPM are aggregated at the national level to account for small counts and to protect confidentiality. Therefore, provincial and territorial totals will not equal Canada-level totals. Crime Severity Index data and rates are not available.",,whole table,
35-10-0177-01,footnote,note,2,"During the production of each year's crime statistics, data from the previous year are revised to reflect any updates or changes that have been received from the police services. For more information on the concepts, methods and quality of the data contained in this table, please contact the Canadian Centre for Justice and Community Safety Statistics at statcan.ccjcss-ccsjsc.statcan@statcan.gc.ca.",,whole table,
35-10-0177-01,footnote,note,47,"With the release of 2012 data, revised population estimates at the respondent level were applied back to and including 2004. This resulted in boundary changes for the census metropolitan areas (CMA) of Saint John for 2005 to 2011 and for Winnipeg for 2011. Crime data for these years for these respondents have therefore been revised.",,whole table,
35-10-0177-01,footnote,note,50,"In 2012, it was discovered that the Montreal Police Service had been incorrectly applying the agreed upon definition for reporting child pornography incidents to the Uniform Crime Reporting Survey (UCR). As such, the number of violations has been revised for the years 2008 to 2011.",,Geography: Canada,
35-10-0177-01,footnote,note,7,"During the revision of 2001 data for the province of Ontario, a discrepancy in methodology applied by the forces in the province using the Ontario Municipal and Provincial Police Automated Co-operative (OMPPAC) system was detected. These forces report approximately one-third of the total criminal incidents for the province and include the Ontario Provincial Police and about 60 small and mid-sized municipal forces. This discrepancy resulted in an over-count of less serious criminal incidents. During 2003 and 2004, the Canadian Centre for Justice Statistics (CCJS) consulted with affected police services and analyzed both historical Aggregate Uniform Crime Reporting Survey (UCR) data and more recent Incident-based Uniform Crime Reporting Survey (UCR2) microdata to determine the impact of this over-reporting. The effect at the Canada level was, on average, 1% per year from 1977 to 2000. This over-counting peaked in 1991, where it was estimated that the total crime rate for the country was over-estimated by approximately 1.8%. However, the overall historical trend changed very little. The impact in Ontario is more noticeable, but the overall trend is still very similar. On average, the effect was 2% to 3% per year, with the biggest change occurring in 1991, where the Ontario crime rate is 5% lower as a result of the adjustment. For further information, refer to the report:Summary of Historical Adjustments to Crime Data for Ontario 1977-2000 (opens new window).",,Geography: Ontario [35],
CMHC RMS average rent,symbol,note,Excellent,data reliability: excellent,15,quality,2021 October / 2 Bedroom / Rms / Average Rent; 2022 October / 2 Bedroom / Rms / Average Rent; 2023 October / 2 Bedroom / Rms / Average Rent
CMHC RMS rent change,symbol,note,Excellent,data reliability: excellent,10,quality,2021 October / 2 Bedroom / Rms / Average Rent Change; 2022 October / 2 Bedroom / Rms / Average Rent Change; 2023 October / 2 Bedroom / Rms / Average Rent Change
CMHC RMS rent change,symbol,note,Very good,data reliability: very good,5,quality,2021 October / 2 Bedroom / Rms / Average Rent Change; 2022 October / 2 Bedroom / Rms / Average Rent Change; 2023 October / 2 Bedroom / Rms / Average Rent Change
CMHC RMS vacancy rate,symbol,note,Excellent,data reliability: excellent,13,quality,2021 October / Total / Rms / Vacancy Rate; 2022 October / Total / Rms / Vacancy Rate; 2023 October / Total / Rms / Vacancy Rate
CMHC RMS vacancy rate,symbol,note,Very good,data reliability: very good,2,quality,2024 October / Total / Rms / Vacancy Rate; 2025 October / Total / Rms / Vacancy Rate
